第0世代平均適応度 0.000000
  2 : B Y H M , C Z Z Z , D X U N , S F H H      5
  3 : U Y H N , D Z Z Z , C O U N , V D T T      5
  4 : R F X S , C Z Z Z , D E T U , V D T F      5
  5 : R Y H S , C Z Z Z , C O U N , V A T A      5
  6 : U Y D Z , C Z Z Z , C O U N , W E T Q      5
  7 : K Y H M , C Z Z Z , P X U N , V F T F      5
  8 : K Y H M , C Z Z Z , C E Q U , U E R F      5
  9 : K P H Z , C Z Z Z , C E U N , U D Y H      5
 10 : U Y D N , C Z Z Z , C X U N , S A T Q      5
 11 : K Y H M , D Z Z Z , C E U N , V A T F      5
 12 : R F H M , D Z Z D , R O Q N , V A T Q      5
 13 : B P H Z , C Z Z Z , D E Q N , V B Y H      5
 14 : J Y H N , D Z Z Z , D E U U , R A T Q      5
 15 : U F H S , C Z Z Z , D O Q U , V A T Q      5
 16 : R P H M , D Z Z Z , R E Q N , R D T F      5
 17 : R F H Z , C Z Z Z , D R U N , V E P S      5
 18 : R Y C S , C Z Z Z , C E L N , V A T F      5
 19 : J Y H Z , C Z Z Z , D E U N , R A T Q      5
 20 : K Y H S , D Z Z Z , C O Q N , S A T Q      5
 21 : R Y D S , C Z Z Z , C E U N , W A T Q      5
 22 : U Y D M , D Z Z Z , D E U U , U E T Q      5
 23 : R Y H M , C Z Z Z , C E U N , V M T A      5
 24 : R P H Z , C Z Z Z , D E U N , S A H S      5
 25 : B Y H M , D Z Z Z , D X Q N , V A T Q      5
 26 : R Y H M , C Z Z Z , C X Q N , V E T F      5
 27 : U Y D N , D Z Z Z , C O U U , W E T Q      5
 28 : U Y D N , D Z Z Z , C E U N , U A T Q      5
 29 : Z Y H M , D Z Z Z , C E U N , V D T T      5
第11世代平均適応度 5.000000
  0 : R Y C M , C Z Z Z , D E T U , V D T F      5
  1 : K P H Z , C Z Z Z , C E Q N , U E R F      5
  2 : R F H Z , C Z Z Z , D R U N , V E P S      5
  3 : B Y D N , D Z Z Z , D X U N , S F H Q      5
  4 : R Y H Z , C Z Z Z , C O U N , V A T A      5
  5 : Z Y H M , D Z Z Z , C E U N , V D T T      5
  6 : R Y H M , D Z Z Z , D X Q N , V E T Q      5
  7 : K Y H M , C Z Z Z , C E U U , U D Y H      5
  8 : K Y H M , C Z Z Z , C E U N , V E T F      5
  9 : J Y J S , C Z Z Z , D E U N , R A T Q      5
 10 : B Y D M , D Z Z Z , D X Q N , W E T Q      5
 11 : R Y H M , D Z Z Z , C X Q N , V A T F      5
 12 : U P H Z , C Z Z Z , D E U N , U A T S      5
 13 : U F D M , D Z Z Z , C O U N , W E T Q      5
 14 : J Y H S , C Z Z Z , D O U U , R A T Q      5
 15 : Z Y H M , D Z Z Z , C E U N , V D T T      5
 16 : K Y H S , D Z Z Z , C E Q N , W A T Q      5
 17 : U Y H N , D Z Z Z , C O U N , V E T A      5
 18 : U Y H M , C Z Z Z , C E U N , U A T H      5
 19 : R F X S , D Z Z Z , C E U U , U E T F      5
 20 : U Y D Z , C Z Z Z , C X U N , U D T Q      5
 21 : K P H N , C Z Z Z , C E U N , S A Y H      5
 22 : U Y H Z , C Z Z Z , C E U N , W B T Q      5
 23 : R P H S , C Z Z Z , C E L N , W A T F      5
 24 : B Y D N , C Z Z Z , C E U N , U A H Q      5
 25 : R Y D M , C Z Z Z , C E U N , V A T Q      5
 26 : B Y H M , C Z Z Z , C X Q N , V A T F      5
 27 : U Y D M , D Z Z Z , C X U U , S E T Q      5
 28 : B P D Z , C Z Z Z , D O Q N , V E Y H      5
 29 : R Y C N , C Z Z Z , C E U N , U A T F      5
第12世代平均適応度 5.000000
  0 : J Y H M , C Z Z Z , C X Q U , V A T F      5
  1 : B Y D N , D Z Z Z , C X U N , U A T F      5
  2 : K Y D N , C Z Z Z , C X U N , S A Y H      5
  3 : K Y H N , C Z Z Z , C E U N , S A T H      5
